관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,text
안덕계곡,계곡,,제주특별자치도 서귀포시 안덕면 감산리 1946,33.2571804,126.352557,"안덕계곡는 계곡입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1946이며, 위도는 33.2571804이고, 경도는 126.352557입니다."
감귤체험농장 예래팜 본점,관람+체험,제주특별자치도 서귀포시 안덕면 일주서로 1513,제주특별자치도 서귀포시 안덕면 감산리 349,33.25866984,126.3541987,"감귤체험농장 예래팜 본점는 관람+체험입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 349이며, 위도는 33.25866984이고, 경도는 126.3541987입니다."
월라봉 진지동굴(안덕면),동굴,,제주특별자치도 서귀포시 안덕면 감산리 1162,33.2447052,126.3488505,"월라봉 진지동굴(안덕면)는 동굴입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1162이며, 위도는 33.2447052이고, 경도는 126.3488505입니다."
건강과성박물관,박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1404,33.25490453,126.3466608,"건강과성박물관는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1404이며, 위도는 33.25490453이고, 경도는 126.3466608입니다."
볼레낭길,숲,,제주특별자치도 서귀포시 안덕면 감산리 1049,33.23584661,126.3492461,"볼레낭길는 숲입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1049이며, 위도는 33.23584661이고, 경도는 126.3492461입니다."
월나봉(도래오름),오름,,제주특별자치도 서귀포시 안덕면 감산리 1144,33.24390832,126.3494815,"월나봉(도래오름)는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1144이며, 위도는 33.24390832이고, 경도는 126.3494815입니다."
창고천생태공원,자연+생태공원,,제주특별자치도 서귀포시 안덕면 감산리 1946,33.25643517,126.3548912,"창고천생태공원는 자연+생태공원입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1946이며, 위도는 33.25643517이고, 경도는 126.3548912입니다."
박수기정,지역명소,,제주특별자치도 서귀포시 안덕면 감산리 1008,33.2364413,126.359158,"박수기정는 지역명소입니다. 주소는 제주특별자치도 서귀포시 안덕면 감산리 1008이며, 위도는 33.2364413이고, 경도는 126.359158입니다."
왕이메오름,오름,,제주특별자치도 서귀포시 안덕면 광평리 산 79,33.34352428,126.3765718,"왕이메오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 광평리 산 79이며, 위도는 33.34352428이고, 경도는 126.3765718입니다."
돔박이오름,오름,,제주특별자치도 서귀포시 안덕면 광평리 산 89,33.33947266,126.3643392,"돔박이오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 광평리 산 89이며, 위도는 33.33947266이고, 경도는 126.3643392입니다."
군산,오름,,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.25310206,126.3699606,"군산는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 창천리 산 3-1이며, 위도는 33.25310206이고, 경도는 126.3699606입니다."
대평포구,항구,,제주특별자치도 서귀포시 안덕면 창천리 914-5,33.23718348,126.3619046,"대평포구는 항구입니다. 주소는 제주특별자치도 서귀포시 안덕면 창천리 914-5이며, 위도는 33.23718348이고, 경도는 126.3619046입니다."
